2025-05-22 at 23:23:45 | INFO | Бот успешно запущен.
2025-05-22 at 23:24:06 | INFO | Поиск одной записи User по фильтрам: {'telegram_id': 1925155754}
2025-05-22 at 23:24:06 | INFO | Запись не найдена по фильтрам: {'telegram_id': 1925155754}
2025-05-22 at 23:24:06 | INFO | Добавление записи User с параметрами: {'telegram_id': 1925155754, 'username': 'Cells_Interlinked01', 'first_name': '</> 🤯', 'last_name': None}
2025-05-22 at 23:24:06 | INFO | Запись User успешно добавлена.
2025-05-22 at 23:26:03 | ERROR | Бот остановлен!
2025-05-22 at 23:26:08 | INFO | Бот успешно запущен.
2025-05-22 at 23:26:16 | INFO | Поиск одной записи User по фильтрам: {'telegram_id': 1925155754}
2025-05-22 at 23:26:16 | INFO | Запись не найдена по фильтрам: {'telegram_id': 1925155754}
2025-05-22 at 23:26:16 | INFO | Добавление записи User с параметрами: {'telegram_id': 1925155754, 'username': 'Cells_Interlinked01', 'first_name': '</> 🤯', 'last_name': None}
2025-05-22 at 23:26:16 | INFO | Запись User успешно добавлена.
2025-05-22 at 23:26:22 | INFO | Подсчет количества записей Product по фильтру: {}
2025-05-22 at 23:26:22 | INFO | Найдено 0 записей.
2025-05-22 at 23:26:42 | INFO | Поиск всех записей Category по фильтрам: {}
2025-05-22 at 23:26:42 | INFO | Найдено 6 записей.
2025-05-22 at 23:27:27 | INFO | Поиск Category с ID: 2
2025-05-22 at 23:27:27 | INFO | Запись с ID 2 найдена.
2025-05-22 at 23:27:32 | INFO | Добавление записи Product с параметрами: {'name': 'Чпэкс за деньги', 'description': 'этот чпэкс за деньги великолепен', 'price': 150000, 'category_id': 2, 'file_id': None, 'hidden_content': 'Sex, Sex'}
2025-05-22 at 23:27:32 | INFO | Запись Product успешно добавлена.
2025-05-22 at 23:28:27 | ERROR | Бот остановлен!
2025-05-22 at 23:29:29 | INFO | Бот успешно запущен.
2025-05-22 at 23:29:29 | INFO | Поиск одной записи User по фильтрам: {'telegram_id': 1925155754}
2025-05-22 at 23:29:29 | INFO | Запись найдена по фильтрам: {'telegram_id': 1925155754}
2025-05-22 at 23:30:01 | ERROR | Бот остановлен!
2025-05-22 at 23:30:05 | INFO | Бот успешно запущен.
2025-05-22 at 23:30:07 | INFO | Поиск одной записи User по фильтрам: {'telegram_id': 1925155754}
2025-05-22 at 23:30:07 | INFO | Запись найдена по фильтрам: {'telegram_id': 1925155754}
2025-05-22 at 23:31:48 | ERROR | Бот остановлен!
2025-05-22 at 23:31:53 | INFO | Бот успешно запущен.
2025-05-22 at 23:32:00 | INFO | Поиск одной записи User по фильтрам: {'telegram_id': 1925155754}
2025-05-22 at 23:32:00 | INFO | Запись найдена по фильтрам: {'telegram_id': 1925155754}
2025-05-22 at 23:46:35 | ERROR | Бот остановлен!
2025-05-22 at 23:46:39 | INFO | Бот успешно запущен.
2025-05-22 at 23:46:43 | INFO | Поиск одной записи User по фильтрам: {'telegram_id': 1925155754}
2025-05-22 at 23:46:43 | INFO | Запись найдена по фильтрам: {'telegram_id': 1925155754}
2025-05-22 at 23:47:08 | INFO | Поиск всех записей Category по фильтрам: {}
2025-05-22 at 23:47:08 | INFO | Найдено 6 записей.
2025-05-22 at 23:47:12 | INFO | Поиск всех записей Product по фильтрам: {'category_id': 2}
2025-05-22 at 23:47:12 | INFO | Найдено 1 записей.
2025-05-22 at 23:47:17 | INFO | Поиск всех записей Product по фильтрам: {'category_id': 3}
2025-05-22 at 23:47:17 | INFO | Найдено 0 записей.
2025-05-22 at 23:47:33 | INFO | Поиск всех записей Category по фильтрам: {}
2025-05-22 at 23:47:33 | INFO | Найдено 6 записей.
2025-05-22 at 23:47:40 | INFO | Поиск всех записей Product по фильтрам: {'category_id': 2}
2025-05-22 at 23:47:40 | INFO | Найдено 1 записей.
2025-05-22 at 23:47:43 | INFO | Поиск всех записей Category по фильтрам: {}
2025-05-22 at 23:47:43 | INFO | Найдено 6 записей.
2025-05-22 at 23:52:51 | ERROR | Бот остановлен!
2025-05-24 at 21:54:17 | INFO | Бот успешно запущен.
2025-05-24 at 21:54:23 | INFO | Поиск одной записи User по фильтрам: {'telegram_id': 1925155754}
2025-05-24 at 21:54:23 | INFO | Запись найдена по фильтрам: {'telegram_id': 1925155754}
2025-05-24 at 21:54:26 | INFO | Поиск всех записей Category по фильтрам: {}
2025-05-24 at 21:54:26 | INFO | Найдено 6 записей.
2025-05-24 at 21:54:39 | INFO | Поиск всех записей Category по фильтрам: {}
2025-05-24 at 21:54:39 | INFO | Найдено 6 записей.
2025-05-24 at 21:54:45 | INFO | Поиск всех записей Product по фильтрам: {'category_id': 6}
2025-05-24 at 21:54:45 | INFO | Найдено 0 записей.
2025-05-24 at 21:54:47 | INFO | Поиск всех записей Product по фильтрам: {'category_id': 2}
2025-05-24 at 21:54:47 | INFO | Найдено 1 записей.
2025-05-24 at 21:54:49 | INFO | Поиск одной записи User по фильтрам: {'telegram_id': 1925155754}
2025-05-24 at 21:54:49 | INFO | Запись найдена по фильтрам: {'telegram_id': 1925155754}
2025-05-24 at 21:59:37 | ERROR | Бот остановлен!
2025-05-24 at 21:59:46 | INFO | Бот успешно запущен.
2025-05-24 at 21:59:51 | INFO | Поиск одной записи User по фильтрам: {'telegram_id': 1925155754}
2025-05-24 at 21:59:51 | INFO | Запись найдена по фильтрам: {'telegram_id': 1925155754}
2025-05-24 at 21:59:56 | INFO | Поиск всех записей Category по фильтрам: {}
2025-05-24 at 21:59:56 | INFO | Найдено 6 записей.
2025-05-24 at 21:59:59 | INFO | Поиск всех записей Product по фильтрам: {'category_id': 4}
2025-05-24 at 21:59:59 | INFO | Найдено 0 записей.
2025-05-24 at 22:00:00 | INFO | Поиск всех записей Product по фильтрам: {'category_id': 6}
2025-05-24 at 22:00:00 | INFO | Найдено 0 записей.
2025-05-24 at 22:00:02 | INFO | Поиск всех записей Product по фильтрам: {'category_id': 2}
2025-05-24 at 22:00:02 | INFO | Найдено 1 записей.
2025-05-24 at 22:00:05 | INFO | Поиск всех записей Product по фильтрам: {'category_id': 2}
2025-05-24 at 22:00:05 | INFO | Найдено 1 записей.
2025-05-24 at 22:00:15 | INFO | Поиск одной записи User по фильтрам: {'telegram_id': 1925155754}
2025-05-24 at 22:00:15 | INFO | Запись найдена по фильтрам: {'telegram_id': 1925155754}
2025-05-24 at 22:02:48 | ERROR | Бот остановлен!
2025-05-24 at 22:03:04 | INFO | Бот успешно запущен.
2025-05-24 at 22:03:05 | INFO | Поиск одной записи User по фильтрам: {'telegram_id': 1925155754}
2025-05-24 at 22:03:05 | INFO | Запись найдена по фильтрам: {'telegram_id': 1925155754}
2025-05-24 at 22:03:07 | INFO | Поиск всех записей Category по фильтрам: {}
2025-05-24 at 22:03:07 | INFO | Найдено 6 записей.
2025-05-24 at 22:03:09 | INFO | Поиск всех записей Product по фильтрам: {'category_id': 2}
2025-05-24 at 22:03:09 | INFO | Найдено 1 записей.
2025-05-24 at 22:03:13 | INFO | Поиск всех записей Category по фильтрам: {}
2025-05-24 at 22:03:13 | INFO | Найдено 6 записей.
2025-05-24 at 22:03:15 | INFO | Поиск всех записей Product по фильтрам: {'category_id': 1}
2025-05-24 at 22:03:15 | INFO | Найдено 0 записей.
2025-05-24 at 22:03:17 | INFO | Поиск всех записей Product по фильтрам: {'category_id': 2}
2025-05-24 at 22:03:17 | INFO | Найдено 1 записей.
2025-05-24 at 22:03:25 | INFO | Поиск всех записей Category по фильтрам: {}
2025-05-24 at 22:03:25 | INFO | Найдено 6 записей.
2025-05-24 at 22:03:29 | INFO | Поиск всех записей Product по фильтрам: {'category_id': 2}
2025-05-24 at 22:03:29 | INFO | Найдено 1 записей.
2025-05-24 at 22:03:31 | INFO | Поиск одной записи User по фильтрам: {'telegram_id': 1925155754}
2025-05-24 at 22:03:31 | INFO | Запись найдена по фильтрам: {'telegram_id': 1925155754}
2025-05-24 at 22:04:41 | ERROR | Бот остановлен!
2025-05-24 at 22:04:46 | INFO | Бот успешно запущен.
2025-05-24 at 22:04:47 | INFO | Поиск одной записи User по фильтрам: {'telegram_id': 1925155754}
2025-05-24 at 22:04:47 | INFO | Запись найдена по фильтрам: {'telegram_id': 1925155754}
2025-05-24 at 22:04:48 | INFO | Поиск всех записей Category по фильтрам: {}
2025-05-24 at 22:04:48 | INFO | Найдено 6 записей.
2025-05-24 at 22:04:50 | INFO | Поиск всех записей Product по фильтрам: {'category_id': 2}
2025-05-24 at 22:04:50 | INFO | Найдено 1 записей.
2025-05-24 at 22:04:51 | INFO | Поиск одной записи User по фильтрам: {'telegram_id': 1925155754}
2025-05-24 at 22:04:51 | INFO | Запись найдена по фильтрам: {'telegram_id': 1925155754}
2025-05-24 at 22:05:14 | INFO | Поиск одной записи User по фильтрам: {'telegram_id': 1925155754}
2025-05-24 at 22:05:14 | INFO | Запись найдена по фильтрам: {'telegram_id': 1925155754}
2025-05-24 at 22:07:57 | ERROR | Бот остановлен!
2025-05-24 at 22:08:01 | INFO | Бот успешно запущен.
2025-05-24 at 22:08:05 | INFO | Поиск всех записей Category по фильтрам: {}
2025-05-24 at 22:08:05 | INFO | Найдено 6 записей.
2025-05-24 at 22:08:09 | INFO | Поиск всех записей Product по фильтрам: {'category_id': 2}
2025-05-24 at 22:08:09 | INFO | Найдено 1 записей.
2025-05-24 at 22:08:12 | INFO | Поиск одной записи User по фильтрам: {'telegram_id': 1925155754}
2025-05-24 at 22:08:12 | INFO | Запись найдена по фильтрам: {'telegram_id': 1925155754}
2025-05-24 at 22:09:15 | ERROR | Бот остановлен!
2025-05-24 at 22:09:57 | INFO | Бот успешно запущен.
2025-05-24 at 22:10:02 | INFO | Поиск одной записи User по фильтрам: {'telegram_id': 1925155754}
2025-05-24 at 22:10:02 | INFO | Запись найдена по фильтрам: {'telegram_id': 1925155754}
2025-05-24 at 22:12:35 | ERROR | Бот остановлен!
2025-05-24 at 22:12:39 | INFO | Бот успешно запущен.
2025-05-24 at 22:12:40 | INFO | Поиск одной записи User по фильтрам: {'telegram_id': 1925155754}
2025-05-24 at 22:12:40 | INFO | Запись найдена по фильтрам: {'telegram_id': 1925155754}
2025-05-24 at 22:14:50 | INFO | Статистика успешно получена: {'total_users': 1, 'new_today': 0, 'new_week': 1, 'new_month': 1}
2025-05-24 at 22:16:22 | INFO | Поиск всех записей Category по фильтрам: {}
2025-05-24 at 22:16:22 | INFO | Найдено 6 записей.
2025-05-24 at 22:16:23 | INFO | Поиск всех записей Product по фильтрам: {'category_id': 2}
2025-05-24 at 22:16:23 | INFO | Найдено 1 записей.
2025-05-24 at 22:16:26 | INFO | Поиск одной записи User по фильтрам: {'telegram_id': 1925155754}
2025-05-24 at 22:16:26 | INFO | Запись найдена по фильтрам: {'telegram_id': 1925155754}
2025-05-24 at 22:21:19 | INFO | Поиск одной записи User по фильтрам: {'telegram_id': 1925155754}
2025-05-24 at 22:21:19 | INFO | Запись найдена по фильтрам: {'telegram_id': 1925155754}
2025-05-24 at 22:21:22 | ERROR | Бот остановлен!
2025-05-24 at 22:21:27 | INFO | Бот успешно запущен.
2025-05-24 at 22:21:33 | INFO | Поиск всех записей Category по фильтрам: {}
2025-05-24 at 22:21:33 | INFO | Найдено 6 записей.
2025-05-24 at 22:21:34 | INFO | Поиск всех записей Product по фильтрам: {'category_id': 2}
2025-05-24 at 22:21:34 | INFO | Найдено 1 записей.
2025-05-24 at 22:21:35 | INFO | Поиск одной записи User по фильтрам: {'telegram_id': 1925155754}
2025-05-24 at 22:21:35 | INFO | Запись найдена по фильтрам: {'telegram_id': 1925155754}
2025-05-24 at 22:22:09 | ERROR | Бот остановлен!
2025-05-24 at 22:22:28 | INFO | Бот успешно запущен.
2025-05-24 at 22:22:35 | INFO | Поиск всех записей Category по фильтрам: {}
2025-05-24 at 22:22:35 | INFO | Найдено 6 записей.
2025-05-24 at 22:22:36 | INFO | Поиск всех записей Product по фильтрам: {'category_id': 2}
2025-05-24 at 22:22:36 | INFO | Найдено 1 записей.
2025-05-24 at 22:22:37 | INFO | Поиск одной записи User по фильтрам: {'telegram_id': 1925155754}
2025-05-24 at 22:22:37 | INFO | Запись найдена по фильтрам: {'telegram_id': 1925155754}
2025-05-24 at 22:23:41 | INFO | Добавление записи Purchase с параметрами: {'user_id': 1, 'payment_id': '8189011271_1925155754_22235_7508017659838710824', 'price': 150000, 'product_id': 1}
2025-05-24 at 22:23:41 | INFO | Запись Purchase успешно добавлена.
2025-05-24 at 22:23:41 | INFO | Поиск Product с ID: 1
2025-05-24 at 22:23:41 | INFO | Запись с ID 1 найдена.
2025-05-24 at 22:28:40 | ERROR | Бот остановлен!
2025-05-24 at 22:28:44 | INFO | Бот успешно запущен.
2025-05-24 at 22:29:41 | ERROR | Бот остановлен!
2025-05-24 at 22:29:45 | INFO | Бот успешно запущен.
2025-05-24 at 22:30:35 | ERROR | Бот остановлен!
2025-05-24 at 22:30:39 | INFO | Бот успешно запущен.
2025-05-24 at 22:30:42 | INFO | Поиск одной записи User по фильтрам: {'telegram_id': 1925155754}
2025-05-24 at 22:30:42 | INFO | Запись найдена по фильтрам: {'telegram_id': 1925155754}
2025-05-24 at 22:30:51 | INFO | Поиск всех записей Category по фильтрам: {}
2025-05-24 at 22:30:51 | INFO | Найдено 6 записей.
2025-05-24 at 22:31:03 | INFO | Поиск всех записей Category по фильтрам: {}
2025-05-24 at 22:31:03 | INFO | Найдено 6 записей.
2025-05-24 at 22:31:05 | INFO | Поиск всех записей Product по фильтрам: {'category_id': 3}
2025-05-24 at 22:31:05 | INFO | Найдено 0 записей.
2025-05-24 at 22:31:09 | INFO | Поиск всех записей Category по фильтрам: {}
2025-05-24 at 22:31:09 | INFO | Найдено 6 записей.
2025-05-24 at 22:31:14 | INFO | Статистика успешно получена: {'total_users': 1, 'new_today': 0, 'new_week': 1, 'new_month': 1}
2025-05-24 at 22:31:17 | INFO | Подсчет количества записей Product по фильтру: {}
2025-05-24 at 22:31:17 | INFO | Найдено 1 записей.
2025-05-24 at 22:31:20 | INFO | Поиск всех записей Product по фильтрам: {}
